Name N E Z
p551 6165444.124 444787.262 137.846
p552 6165450.001 444783.685 137.846
p553 6165456.435 444780.236 137.846
p554 6165462.773 444776.753 137.846
p555 6165468.834 444773.301 137.746
p556 6165474.845 444769.966 137.746
p557 6165480.914 444766.673 137.646
p558 6165487.175 444763.314 137.646
p559 6165493.282 444759.909 137.846
p560 6165499.356 444756.519 138.046
p561 6165505.421 444753.192 138.346
p562 6165510.817 444750.008 138.845
p563 6165516.912 444746.617 139.745
p564 6165520.026 444753.020 139.645
p565 6165514.100 444756.350 139.145
p566 6165508.458 444759.407 138.346
p567 6165503.160 444762.405 138.246
p568 6165497.883 444765.492 137.846
p569 6165492.806 444768.445 137.846
p570 6165487.569 444771.094 137.846
p571 6165482.327 444774.207 138.046
p572 6165477.012 444777.086 138.046
p573 6165471.811 444780.030 138.046
p574 6165466.462 444782.760 138.046
p575 6165461.178 444785.857 137.946
p576 6165455.927 444788.763 137.846
p577 6165450.595 444791.664 137.846
p578 6165445.473 444794.523 137.646
p579 6165449.962 444799.983 137.746
p580 6165455.140 444797.094 137.846
p581 6165460.422 444794.322 137.746
p582 6165465.502 444791.058 137.946
p583 6165471.116 444788.086 137.846
p584 6165476.328 444785.349 137.846
p585 6165481.557 444782.372 137.746
p586 6165486.800 444779.372 137.946
p587 6165492.023 444776.601 137.846
p588 6165497.376 444773.629 137.746
p589 6165502.964 444770.529 137.846
p590 6165508.650 444767.273 138.046
p591 6165514.343 444764.093 138.445
p592 6165520.108 444760.928 139.145
p593 6165525.842 444757.902 139.545
