B L 84H Name
55°36'34.00476" 86°07'20.02668" 104.800 p453
55°36'34.20672" 86°07'19.81776" 105.100 p454
55°36'34.39728" 86°07'19.61940" 105.400 p455
55°36'34.59744" 86°07'19.42272" 106.100 p456
55°36'34.72908" 86°07'19.73808" 106.300 p457
55°36'34.52760" 86°07'19.94940" 105.500 p458
55°36'34.32588" 86°07'20.14164" 104.800 p459
55°36'34.13232" 86°07'20.34120" 104.700 p460
55°36'33.93924" 86°07'20.54676" 104.500 p461
55°36'33.73740" 86°07'20.74116" 104.600 p462
55°36'33.54300" 86°07'20.93720" 104.600 p463
55°36'33.34644" 86°07'21.13440" 104.600 p464
55°36'33.14200" 86°07'21.33500" 104.800 p465
55°36'32.95236" 86°07'21.52140" 104.800 p466
55°36'32.75240" 86°07'21.72240" 104.700 p467
55°36'32.54688" 86°07'21.95304" 104.800 p468
55°36'32.36040" 86°07'22.15068" 104.900 p469
55°36'32.51100" 86°07'22.44120" 104.600 p470
55°36'32.67816" 86°07'22.23924" 104.600 p471
55°36'32.86860" 86°07'22.04760" 104.700 p472
55°36'33.06525" 86°07'21.84720" 104.800 p473
55°36'33.26052" 86°07'21.65472" 104.800 p474
55°36'33.46008" 86°07'21.45840" 104.600 p475
55°36'33.65220" 86°07'21.26020" 104.500 p476
55°36'33.84948" 86°07'21.06876" 104.600 p477
55°36'34.04580" 86°07'20.87760" 104.600 p478
55°36'34.24155" 86°07'20.68380" 104.600 p479
55°36'34.44300" 86°07'20.48505" 104.800 p480
55°36'34.63836" 86°07'20.29404" 105.600 p481
55°36'34.83585" 86°07'20.10315" 106.300 p482
55°36'34.95048" 86°07'20.45364" 106.500 p483
55°36'34.75120" 86°07'20.65280" 105.500 p484
55°36'34.56024" 86°07'20.84628" 104.900 p485
55°36'34.35312" 86°07'21.04620" 104.700 p486
55°36'34.15476" 86°07'21.24444" 104.600 p487
55°36'33.95364" 86°07'21.43476" 104.500 p488
55°36'33.75680" 86°07'21.63160" 104.600 p489
55°36'33.56784" 86°07'21.82008" 104.500 p490
55°36'33.36720" 86°07'22.02108" 104.600 p491
55°36'33.17595" 86°07'22.21665" 104.500 p492
55°36'32.98704" 86°07'22.40508" 104.500 p493
55°36'32.79240" 86°07'22.60164" 104.500 p494
55°36'32.64948" 86°07'22.77156" 104.500 p495
